"PLAYERS","DFG","BOT                               GVR                               HSM                               JHN                               LGN                               LPT                               MAC                               SHF                               SRL                               UFA                               VPP                               ZSK","ANA                               BOS                               BUF                               CAR                               CBJ                               CGY                               CHI                               COL                               DAL                               DET                               EDM                               FLA                               LAK                               MIN                               MTL                               NJD                               NSH                               NYI                               NYR                               OTT                               PHI                               PIT                               SEA                               SJS                               STL                               TBL                               TOR                               UFA                               UTA                               VAN                               VGK                               WPG                               WSH","Age","Cap","GP","Pts","PPG"
"Scott Wedgewood                                3","G","BOT","COL","34","$4.5","33","50","1.5"
"Miro Heiskanen                                3","D","BOT","DAL","27","$5.8","59","50","0.8"
"Adrian Kempe                                3","F","ZSK","LAK","30","$3.4","60","50","0.8"
"Filip Forsberg                                3","F","LPT","NSH","32","$4.0","61","50","0.8"
"Trevor Zegras                                3","F","GVR","PHI","25","$0.7","60","50","0.8"
"Matthew Knies                                B","F","JHN","TOR","23","$1.2","59","50","0.8"
"Alex Ovechkin                                3","F","MAC","WSH","40","$2.3","63","50","0.8"
"Jeremy Swayman                                3","G","VPP","BOS","27","$1.4","40","49","1.2"
"Pavel Dorofeyev                                3","F","GVR","VGK","25","$0.5","62","49","0.8"
"Jakob Chychrun                                3","D","JHN","WSH","28","$2.5","61","49","0.8"
"Dylan Strome                                2","F","HSM","WSH","29","$0.9","61","49","0.8"
"Tom Wilson                                3","F","SRL","WSH","32","$1.0","53","49","0.9"
"Lukas Dostal                                2","G","ZSK","ANA","26","$0.9","42","48","1.1"
"Nikolaj Ehlers                                3","F","GVR","CAR","30","$3.0","61","48","0.8"
"Seth Jarvis                                2","F","ZSK","CAR","24","$3.2","53","48","0.9"
"Ryan Nugent-Hopkins                                3","F","SHF","EDM","33","$1.9","53","48","0.9"
"Ivan Demidov                                A","F","JHN","MTL","20","$0.9","60","48","0.8"
"Jake Sanderson                                C","D","SRL","OTT","24","$1.4","60","48","0.8"
"Logan Thompson                                3","G","MAC","WSH","29","$0.8","42","48","1.1"
"Sam Bennett                                3","F","LPT","FLA","30","$1.3","61","47","0.8"
"Juraj Slafkovsky                                A","F","ZSK","MTL","22","$0.9","60","47","0.8"
"Steven Stamkos                                3","F","HSM","NSH","36","$1.7","61","47","0.8"
"Dylan Cozens                                C","F","BOT","OTT","25","$0.6","60","47","0.8"
"Evgeni Malkin                                3","F","BOT","PIT","40","$0.8","45","47","1.0"
"Charlie Coyle                                3","F","UFA","CBJ","34","$0.5","60","46","0.8"
"John Carlson                                3","D","MAC","WSH","36","$3.0","55","46","0.8"
"Luke Evangelista                                3","F","UFA","NSH","24","$0.5","60","46","0.8"
"Troy Terry                                3","F","JHN","ANA","29","$1.6","46","45","1.0"
"Tyler Bertuzzi                                3","F","HSM","CHI","31","$0.7","58","45","0.8"
"Mackenzie Blackwood                                3","G","LPT","COL","29","$3.6","25","45","1.8"
"Jesper Bratt                                3","F","SHF","NJD","28","$4.2","62","45","0.7"
"Nico Hischier                                2","F","ZSK","NJD","27","$3.2","62","45","0.7"
"Anthony Mantha                                3","F","UFA","PIT","31","$0.5","60","45","0.8"
"Jet Greaves                                3","G","SHF","CBJ","25","$0.5","39","44","1.1"
"Roope Hintz                                3","F","ZSK","DAL","29","$4.0","52","44","0.8"
"Stuart Skinner                                2","G","SHF","PIT","27","$5.6","38","44","1.2"
"Matthew Schaefer                                A","D","LGN","NYI","19","$0.9","62","44","0.7"
"Bryan Rust                                3","F","BOT","PIT","34","$1.2","53","44","0.8"
"Ivan Barbashev                                3","F","VPP","VGK","30","$1.1","62","44","0.7"
"Ryan McLeod                                3","F","UFA","BUF","26","$0.0","61","43","0.7"
"Anton Lundell                                B","F","GVR","FLA","24","$0.8","58","43","0.7"
"Carter Verhaeghe                                3","F","VPP","FLA","31","$3.7","60","43","0.7"
"Will Smith                                A","F","VPP","SJS","21","$0.8","46","43","0.9"
"Shayne Gostisbehere                                3","D","ZSK","CAR","33","$2.0","44","42","1.0"
"Artturi Lehkonen                                3","F","BOT","COL","31","$0.9","59","42","0.7"
